  1   1   1  1848
  2   1   1  1705
  3   1   1  1380
  4   1   1   955
  5   1   1   776
  6   1   1   645
  7   1   1   653
  8   1   1   584
  9   1   1   515
 10   1   1   481
 11   1   1   478
 12   1   1   441
 13   1   1   454
 14   1   1   406
 15   1   1   380
 16   1   1   377
 17   1   1   355
 18   1   1   337
 19   1   1   332
 20   1   1   322
 21   1   1   315
 22   1   1   308
 23   1   1   292
 24   1   1   285
 25   1   1   279
 26   1   1   273
 27   1   1   271
 28   1   1   261
 29   1   1   252
 30   1   1   257
