  1   1   1  1399
  2   1   1  1162
  3   1   1  1096
  4   1   1  1048
  5   1   1  1005
  6   1   1   970
  7   1   1   940
  8   1   1   915
  9   1   1   894
 10   1   1   877
 11   1   1   862
 12   1   1   848
 13   1   1   838
 14   1   1   826
 15   1   1   817
 16   1   1   808
 17   1   1   800
 18   1   1   791
 19   1   1   783
 20   1   1   775
 21   1   1   766
 22   1   1   759
 23   1   1   750
 24   1   1   741
 25   1   1   733
 26   1   1   725
 27   1   1   716
 28   1   1   708
 29   1   1   698
 30   1   1   690
