  1   1   1  1334
  2   1   1  1152
  3   1   1  1089
  4   1   1  1002
  5   1   1  1008
  6   1   1   980
  7   1   1   964
  8   1   1   940
  9   1   1   916
 10   1   1   907
 11   1   1   906
 12   1   1   884
 13   1   1   859
 14   1   1   809
 15   1   1   837
 16   1   1   838
 17   1   1   828
 18   1   1   820
 19   1   1   757
 20   1   1   772
 21   1   1   753
 22   1   1   762
 23   1   1   752
 24   1   1   733
 25   1   1   757
 26   1   1   712
 27   1   1   697
 28   1   1   696
 29   1   1   703
 30   1   1   672
