1 1 1 1907
2 1 1 1867
3 1 1 1845
4 1 1 1817
5 1 1 1822
6 1 1 1791
7 1 1 1744
8 1 1 1747
9 1 1 1718
10 1 1 1672
11 1 1 1672
12 1 1 1653
13 1 1 1633
14 1 1 1629
15 1 1 1610
16 1 1 1580
17 1 1 1594
18 1 1 1582
19 1 1 1557
20 1 1 1537
21 1 1 1534
22 1 1 1483
23 1 1 1506
24 1 1 1496
25 1 1 1464
26 1 1 1458
27 1 1 1457
28 1 1 1454
29 1 1 1434
30 1 1 1428
31 1 1 1411
32 1 1 1413
33 1 1 1388
34 1 1 1378
35 1 1 1404
36 1 1 1386
37 1 1 1353
38 1 1 1362
39 1 1 1362
40 1 1 1329
41 1 1 1338
42 1 1 1339
43 1 1 1341
44 1 1 1327
45 1 1 1324
46 1 1 1316
47 1 1 1303
48 1 1 1305
49 1 1 1304
50 1 1 1305
51 1 1 1290
52 1 1 1288
53 1 1 1271
54 1 1 1270
55 1 1 1283
56 1 1 1272
57 1 1 1273
58 1 1 1247
59 1 1 1270
60 1 1 1245
61 1 1 1246
62 1 1 1245
63 1 1 1243
64 1 1 1243
65 1 1 1233
66 1 1 1236
67 1 1 1233
68 1 1 1244
69 1 1 1227
70 1 1 1220
71 1 1 1212
72 1 1 1220
73 1 1 1205
74 1 1 1207
75 1 1 1218
76 1 1 1209
77 1 1 1209
78 1 1 1215
79 1 1 1200
80 1 1 1201
81 1 1 1193
82 1 1 1189
83 1 1 1187
84 1 1 1184
85 1 1 1192
86 1 1 1192
87 1 1 1186
88 1 1 1178
89 1 1 1176
90 1 1 1183
91 1 1 1181
92 1 1 1178
93 1 1 1170
94 1 1 1165
95 1 1 1168
96 1 1 1163
97 1 1 1165
98 1 1 1168
99 1 1 1161
100 1 1 1170
101 1 1 1156
102 1 1 1156
103 1 1 1156
104 1 1 1150
105 1 1 1156
106 1 1 1153
107 1 1 1151
108 1 1 1146
109 1 1 1144
110 1 1 1142
111 1 1 1142
112 1 1 1144
113 1 1 1140
114 1 1 1141
115 1 1 1141
116 1 1 1127
117 1 1 1137
118 1 1 1135
119 1 1 1126
120 1 1 1138
121 1 1 1133
122 1 1 1134
123 1 1 1127
124 1 1 1133
125 1 1 1123
126 1 1 1128
127 1 1 1131
128 1 1 1121
129 1 1 1122
130 1 1 1123
131 1 1 1121
132 1 1 1113
133 1 1 1117
134 1 1 1117
135 1 1 1117
136 1 1 1118
137 1 1 1114
138 1 1 1113
139 1 1 1109
140 1 1 1111
141 1 1 1109
142 1 1 1104
143 1 1 1105
144 1 1 1108
145 1 1 1105
146 1 1 1109
147 1 1 1104
148 1 1 1101
149 1 1 1108
150 1 1 1099
151 1 1 1097
152 1 1 1097
153 1 1 1100
154 1 1 1098
155 1 1 1095
156 1 1 1090
157 1 1 1089
158 1 1 1088
159 1 1 1088
160 1 1 1097
161 1 1 1092
162 1 1 1086
163 1 1 1084
164 1 1 1089
165 1 1 1078
166 1 1 1084
167 1 1 1090
168 1 1 1090
169 1 1 1084
170 1 1 1081
171 1 1 1086
172 1 1 1081
173 1 1 1079
174 1 1 1087
175 1 1 1074
176 1 1 1078
177 1 1 1075
178 1 1 1074
179 1 1 1078
